,Content Type,Track Identifier,Title,Sort Name,Artist,Sort Artist,Composer,Is Part of Compilation,Album,Sort Album,Album Artist,Genre,Grouping,Comments,Track Year,Track Number On Album,Track Count On Album,Disc Number Of Album,Disc Count Of Album,Beats Per Minute,Track Duration,Track Play Count,Date Added To Library,Date Added To iCloud Music Library,Last Modified Date,Last Played Date,Rating,Album Rating,Skip Count,Date of Last Skip,Is Purchased,Audio File Extension,Remember Playback Position,Album Like Rating,Track Like Rating,Album Rating Method,Is Checked,Copyright,Work Name,Movement Name,Movement Number,Movement Count,Release Date,Display Work Name,Purchased Track Identifier,Apple Music Track Identifier,Tag Matched Track Identifier,Playlist Only Track,Purchase Date,Sort Album Artist,Audio Matched Track Identifier,Sort Composer
10,Song,182857502,S.O.S.,S.O.S.,ABBA,ABBA,"Benny Andersson, Stig Anderson & Björn Ulvaeus",FALSE,Abba,Abba,ABBA,Pop,,,1975,4,13,1,1,,201959,37,2016-10-01T01:33:01Z,2016-10-01T01:33:01Z,2016-10-01T01:33:01Z,2021-07-25T16:20:50Z,,,5,2018-04-18T03:22:03Z,FALSE,m4a,,,,,FALSE,℗ 2014 Polar Music International AB,,,,,1975-04-21T00:00:00Z,,840605681,840605681,,,,,,
11,Song,182857506,Fernando,Fernando,ABBA,ABBA,"Stig Anderson, Björn Ulvaeus & Benny Andersson",TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,12,19,1,1,0,253220,30,2016-10-01T01:33:03Z,2016-10-01T01:33:03Z,2016-10-01T01:33:03Z,2021-07-06T22:29:32Z,0,0,8,2021-08-05T20:44:45Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1976-03-16T04:00:00Z,0,840609651,840609651,1440724287,,,,,
12,Song,182857510,Voulez-Vous,Voulez-Vous,ABBA,ABBA,Björn Ulvaeus & Benny Andersson,TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,13,19,1,1,,308278,17,2016-10-01T01:33:05Z,2016-10-01T01:33:05Z,2016-10-01T01:33:05Z,2021-06-12T05:47:53Z,,,7,2020-03-31T02:25:26Z,FALSE,m4a,,,,,FALSE,℗ 2014 Polar Music International AB,,,,,1979-04-23T04:00:00Z,,840609653,840609653,,,,,,
13,Song,182857514,Gimme! Gimme! Gimme! (A Man After Midnight),Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA,Björn Ulvaeus & Benny Andersson,FALSE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,14,19,1,1,0,289887,16,2016-10-01T01:33:07Z,2016-10-01T01:33:07Z,2016-10-01T01:33:07Z,2021-07-01T04:42:01Z,0,0,1,2019-01-16T20:25:49Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1979-04-23T04:00:00Z,0,840609692,840609692,1440724292,,,,,
14,Song,182857518,Does Your Mother Know,Does Your Mother Know,ABBA,ABBA,Björn Ulvaeus & Benny Andersson,TRUE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1992,15,19,1,1,,194561,22,2016-10-01T01:33:09Z,2016-10-01T01:33:09Z,2016-10-01T01:33:09Z,2021-07-25T17:28:25Z,,,6,2021-02-16T15:40:23Z,FALSE,m4a,,,,,FALSE,℗ 2014 Polar Music International AB,,,,,1979-04-23T04:00:00Z,,840609693,840609693,,,,,,
15,Song,182857522,Thank You For the Music,Thank You For the Music,ABBA,ABBA,Benny Andersson & Björn Ulvaeus,FALSE,ABBA Gold,ABBA Gold,ABBA,Pop,,,1977,18,19,1,1,0,228700,30,2016-10-01T01:33:11Z,2016-10-01T01:33:11Z,2016-10-01T00:33:11Z,2021-08-08T16:28:00Z,0,0,0,,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2014 Polar Music International AB,,,0,0,1977-12-12T00:00:00Z,0,840606910,840606910,,,,,,
16,Song,182857526,Stayin' Alive,Stayin' Alive,Bee Gees,Bee Gees,"Maurice Gibb, Robin Gibb & Barry Gibb",TRUE,Greatest,Greatest,Bee Gees,Pop,,,1977,5,12,1,2,0,284067,38,2016-10-01T01:33:20Z,2016-10-01T01:33:20Z,2016-10-01T01:33:20Z,2021-06-19T05:20:58Z,0,0,5,2022-01-14T19:01:39Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,"℗ 2017 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb",,,0,0,1977-01-01T04:00:00Z,0,1442259185,1442259185,1189370263,,,,,
17,Song,182857730,Night Fever,Night Fever,Bee Gees,Bee Gees,"Maurice Gibb, Robin Gibb & Barry Gibb",TRUE,The Ultimate Bee Gees,Ultimate Bee Gees,Bee Gees,Pop,,,1977,6,19,1,2,0,213706,30,2016-10-01T01:33:34Z,2016-10-01T01:33:34Z,2016-10-01T01:33:34Z,2021-08-03T20:59:48Z,0,0,4,2021-02-17T18:21:18Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,"℗ 2017 Barry Gibb, The Estate of Robin Gibb and Yvonne Gibb",,,0,0,1977-11-15T04:00:00Z,0,1442259731,1442259731,336672088,,,,,
18,Song,182857734,Le temps de l'amour,Le temps de l'amour,Françoise Hardy,Françoise Hardy,,TRUE,Françoise Hardy,Françoise Hardy,Françoise Hardy,French Pop,,,1962,5,12,1,1,0,144813,55,2016-10-01T01:33:49Z,2016-10-01T01:33:49Z,2016-10-01T01:33:49Z,2021-09-05T03:02:25Z,0,0,1,2017-01-11T15:50:20Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2017 Gaumont under exclusive license to Editions Milan Music,,,0,0,1962-11-01T04:00:00Z,0,1313721196,1313721196,703938701,,,,,
19,Song,182857738,I Love How You Love Me (Live),I Love How You Love Me (Live),Jeff Mangum,Jeff Mangum,,FALSE,Live at Jittery Joe's,Live at Jittery Joe's,Jeff Mangum,Folk,,,2004,7,12,1,1,0,206773,26,2016-10-01T01:34:12Z,2016-10-01T01:34:12Z,2016-10-01T01:34:12Z,2021-07-21T20:41:03Z,0,0,4,2021-02-16T17:11:07Z,FALSE,m4a,0,UNDEFINED,UNDEFINED,Calculated,FALSE,℗ 2004 Orange Twin Records,,,0,0,2001-01-01T04:00:00Z,0,722296718,722296718,722296718,,,,,
20,Song,182857742,We Don't Have to Take Our Clothes Off (7'' Version),We Don't Have to Take Our Clothes Off (7'' Version),Jermaine Stewart,Jermaine Stewart,Narada Michael Walden & Preston Glass,TRUE,Complete Eighties,Complete Eighties,Various Artists,Pop,,,2010,66,100,1,1,,244693,39,2016-10-01T01:34:25Z,2016-10-01T01:34:25Z,2016-10-01T02:34:25Z,2021-11-25T18:36:39Z,,,4,2021-11-07T17:33:12Z,FALSE,m4a,,,,,FALSE,℗ This compilation was first published in 2010 and any and all copyright in this compilation is owned by EMI Music Australia Pty Ltd.,,,,,1986-01-01T04:00:00Z,,713005110,713005110,,,,,,
21,Song,182857746,Come Together,,The Beatles,Beatles,John Lennon/Paul McCartney,FALSE,Abbey Road,,,Pop,,,1969,1,17,1,1,,260596,15,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2005-05-03T01:49:58Z,2016-07-28T15:55:00Z,0,100,4,,FALSE,m4a,0,,,UserSet,FALSE,,,,,,,,,,,0,,,,
22,Song,182857750,Dirty Paws,,Of Monsters and Men,,Nanna Brynd Hilmarsdtir & Ragnar rhallsson,FALSE,My Head Is an Animal,,Of Monsters and Men,Alternative,,,2012,1,13,1,1,,278293,13,2012-10-10T04:00:08Z,2016-10-01T01:34:40Z,2014-10-27T00:32:22Z,2016-08-17T20:13:44Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,511213672,511213672,,0,2012-10-10T04:00:08Z,,,
23,Song,182857754,Drive My Car,,The Beatles,Beatles,John Lennon/Paul McCartney,FALSE,Rubber Soul,,,Rock,,,1965,1,14,1,1,,150254,31,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2005-05-03T01:52:38Z,2016-08-08T16:12:57Z,0,0,2,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,401134976,,0,,,,
24,Song,182857758,Emmylou,,Vance Joy,,,FALSE,God Loves You When You're Dancing-EP,,,Alternative,,,2013,1,5,0,0,,280711,33,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2014-01-12T02:21:58Z,2016-08-27T16:27:30Z,0,0,8,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,596264821,,0,,,,
25,Song,182857762,Help!,,The Beatles,Beatles,Lennon/McCartney,FALSE,Help!,,,Rock,,,1965,1,14,1,1,,141139,12,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2004-07-15T20:41:08Z,2016-07-29T00:07:45Z,0,0,0,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
26,Song,182857766,Love Me Do,,The Beatles,Beatles,,FALSE,1,,,Pop,,,0,1,27,0,0,,140800,15,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2007-03-15T00:24:26Z,2016-06-26T14:54:02Z,0,0,2,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
27,Song,182857770,Michigan,Michigan,The Milk Carton Kids,Milk Carton Kids,,FALSE,Prologue,Prologue,The Milk Carton Kids,Singer/Songwriter,,,2011,1,9,1,1,,330772,25,2014-02-21T01:20:13Z,2016-10-01T01:34:40Z,2014-10-27T00:43:16Z,2016-08-27T18:22:15Z,0,0,3,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,456009788,456009788,,0,2014-02-21T01:20:13Z,Milk Carton Kids,,
28,Song,182857774,Mojo Pin,,Jeff Buckley,,G. Lucas & J. Buckley,FALSE,Grace,,,Rock,,,1994,1,10,1,1,,342701,82,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-13T04:00:38Z,2016-08-30T01:40:07Z,0,0,1,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,193072036,,0,,,,
29,Song,182857778,Sgt Pepper's Lonely Hearts Club Band,,The Beatles,Beatles,,FALSE,Sgt Pepper's Lonely Hearts Club Band,,,Pop,,,0,1,13,0,0,,122488,1,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2005-05-03T03:33:14Z,2016-06-25T23:31:46Z,0,0,2,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
